review_id,review,rating,rating_derived_label,annotator_1,annotator_2,annotator_3,final_sentiment,Unnamed: 8,Unnamed: 9,Unnamed: 10,majority_label,full_agreement,requires_resolution
20580,Only 2 employee' s long wait @ 1.30 am?,3,Neutral,Negative,Negative,Negative,Negative,,,,Negative,True,False
21683,My 8yr old loves McGriddle's,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False
15179,The bomb,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False
7412,Cheap food. Make sure you get a straw,4,Positive,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False
1973,"Tl;Dr poor service, frequently gets orders wrong. We try and avoid this place even when we specifically have a hankering for McDonald's. We always have an issue at this McDonald's no matter what time of day, whether we order from a food delivery service or in person. The orders always get screwed up, from missing items to getting a sausage egg and cheese mcgriddle that just had cheese! If there was other fast food options besides pizza and halal nearby we'd probably never go here again. But today I finally understood why it's a mess: there's no communication. It was a busy time since school had just let out and I stood for about 5 minutes waiting for a Dr. Pepper and watched the crew work in relative silence while pushing out food orders without tickets and without speaking to each other. Anyone who has worked in food service knows a quiet kitchen spells more trouble than a loud one. Eventually my sister flagged down the man doing drink orders and asked if the drink he'd just placed in the row of 8 other drinks he'd been setting down indiscriminately was our Dr. Pepper and he said yes...it was a Coke. Management here really needs to have a talk to the crew about working together as a team and communication, especially when it's busy. Yes it's just a McDonald's, and I'm not expecting white glove service from a fast food joint, but our community deserves better than what we're getting for sure.",2,Negative,Negative,Negative,Negative,Negative,,,405.0,Negative,True,False
82,"The staff is very kind and the food is usually prepared in a timely manner, for this reason it'sone of my preferred location's. However the drive thru line can sometimes be an inconvenience as it can get very long and at times even block entrances.",4,Positive,Positive,Positive,Positive,Positive,,,472.0,Positive,True,False
2415,"Newly renovated. So far , so good",4,Positive,Positive,Positive,Positive,Positive,,,123.0,Positive,True,False
17431,"Well what can I say about McDonalds. It's not the best, but it is consistent. I would not recommend it as a steady diet.",3,Neutral,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False
2272,Clean dinning dining area and quick and friendly service.,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
24701,"Used the drive thru. Ordered three large fries. Paid for three large fries. Received only two large fries, and no receipt was given to me, so I couldn't go in and prove that I ordered three.",1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
24052,Fast and customer service was a1,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
2173,It doesn't matter how many nuggets you get you have to fight for the sauce. It's so annoying!,1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
2109,The usual McDonald's good drunk food. Crowed in drive thru service still pretty quick. Price went up a little not much still good deals,4,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False
25132,Yummy breakfasts,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False
24248,"Our little one was having a pretty rough morning and Ms. Maria stepped in and went above and beyond to try to make her happy. Margot ended up smiling and dancing and even ended up passing out a few high fives! Ms. Maria made all of our days better. Thank you for bringing a smile to our faces. The location service was prompt, our order from the kiosk was accurate, and the food was well prepared. Clean location and restrooms at 10:00am on a Thursday.",5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
7243,As usual good.Thanks for your professional service and excellent breakfast,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
5266,I ordered 40pc chicken nuggets and only got 20. Someone needs to learn how to read better. It wasn,1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False
25624,Stopped here on a trip out of town. Very clean and fresh food compared to others I've been.,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
7193,Consistently the best McDonald's I've ever been to my hat is off to the ownership and management team of this location by far best McDonald's ever,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
11158,"This place does not deserve any stars. The worst ever. I'm sorry, I thought we still lived in America, please speak English & Spanish!!",1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
10621,Drive through only (we love LA),3,Neutral,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False
24455,Please calibrate The Soda's Machine correctly. He has been mixing and preparing sodas wrong for days,1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
495,Mid,2,Negative,Neutral,Neutral,Neutral,Neutral,,,,Neutral,True,False
19425,Small portions of food at increased prices.,3,Neutral,Negative,Negative,Negative,Negative,,,,Negative,True,False
21745,Bad service and dirt,1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
26185,"Terrible,the works was rude..I had to ask for napkins,ketchup,and BBq sauce for my nuggets and they gave me buffalo sauce instead.The ice tea tasted old and smelled sour.",1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
15582,"The lady that works on wensday,thursday and friday morning at 5 is very rude..Its like we r bothering her when we place a order through drivethru...",1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
7791,"I ordered 2 spicy chicken with two small fries. I was in a hurry & didn t check the bag. When I got home & ready to eat, it was short 1 spicy chicken. I went back to McDonald",5,Positive,Negative,Negative,Negative,Negative,,,,Negative,True,False
24059,Fresh and hot food!,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
8225,Fresh and clean,5,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
6121,Its a place to run in & grab something quick to eat . As far as sitting in there its not ok the ppl they allow in there are mostly homeless,2,Negative,Negative,Positive,Negative,Negative,,,,Negative,False,False
23393,The buttermilk crispy tenders are not crispy nor tender the meat is horrible the worst I've ever had why would I eat here when I can get some decent fries chicken and burgers at Culver's or some f the best fast food chicken from chik full,1,Negative,Negative,Negative,Negative,Negative,,,,Negative,True,False
15943,Very helpful staff,4,Positive,Positive,Positive,Positive,Positive,,,,Positive,True,False
333,Sometimes you don't get your order right,3,Neutral,Negative,Positive,Negative,Negative,,,,Negative,False,False
